Tournament,Stage,Group,Home,Result,Away
Brazil 2014,Third place play-off,Knockout Stage,Brazil,0–3,Netherlands
Brazil 2014,Final,Knockout Stage,Germany,1–0 (a.e.t.),Argentina
Russia 2018,Group stage,Group A,Russia,5–0,Saudi Arabia
Russia 2018,Group stage,Group A,Egypt,0–1,Uruguay
Russia 2018,Group stage,Group A,Russia,3–1,Egypt
Russia 2018,Group stage,Group A,Uruguay,1–0,Saudi Arabia
Russia 2018,Group stage,Group A,Uruguay,3–0,Russia
Russia 2018,Group stage,Group A,Saudi Arabia,2–1,Egypt
Russia 2018,Group stage,Group B,Morocco,0–1,Iran
Russia 2018,Group stage,Group B,Portugal,3–3,Spain
Russia 2018,Group stage,Group B,Portugal,1–0,Morocco
Russia 2018,Group stage,Group B,Iran,0–1,Spain
Russia 2018,Group stage,Group B,Iran,1–1,Portugal
Russia 2018,Group stage,Group B,Spain,2–2,Morocco
Russia 2018,Group stage,Group C,France,2–1,Australia
Russia 2018,Group stage,Group C,Peru,0–1,Denmark
Russia 2018,Group stage,Group C,Denmark,1–1,Australia
Russia 2018,Group stage,Group C,France,1–0,Peru
Russia 2018,Group stage,Group C,Denmark,0–0,France
Russia 2018,Group stage,Group C,Australia,0–2,Peru
Russia 2018,Group stage,Group D,Argentina,1–1,Iceland
Russia 2018,Group stage,Group D,Croatia,2–0,Nigeria
Russia 2018,Group stage,Group D,Argentina,0–3,Croatia
Russia 2018,Group stage,Group D,Nigeria,2–0,Iceland
Russia 2018,Group stage,Group D,Nigeria,1–2,Argentina
Russia 2018,Group stage,Group D,Iceland,1–2,Croatia
Russia 2018,Group stage,Group E,Costa Rica,0–1,Serbia
Russia 2018,Group stage,Group E,Brazil,1–1,Switzerland
Russia 2018,Group stage,Group E,Brazil,2–0,Costa Rica
Russia 2018,Group stage,Group E,Serbia,1–2,Switzerland
Russia 2018,Group stage,Group E,Serbia,0–2,Brazil
Russia 2018,Group stage,Group E,Switzerland,2–2,Costa Rica
Russia 2018,Group stage,Group F,Germany,0–1,Mexico
Russia 2018,Group stage,Group F,Sweden,1–0,South Korea
Russia 2018,Group stage,Group F,South Korea,1–2,Mexico
Russia 2018,Group stage,Group F,Germany,2–1,Sweden
Russia 2018,Group stage,Group F,South Korea,2–0,Germany
Russia 2018,Group stage,Group F,Mexico,0–3,Sweden
Russia 2018,Group stage,Group G,Belgium,3–0,Panama
Russia 2018,Group stage,Group G,Tunisia,1–2,England
Russia 2018,Group stage,Group G,Belgium,5–2,Tunisia
Russia 2018,Group stage,Group G,England,6–1,Panama
Russia 2018,Group stage,Group G,England,0–1,Belgium
Russia 2018,Group stage,Group G,Panama,1–2,Tunisia
Russia 2018,Group stage,Group H,Colombia,1–2,Japan
Russia 2018,Group stage,Group H,Poland,1–2,Senegal
Russia 2018,Group stage,Group H,Japan,2–2,Senegal
Russia 2018,Group stage,Group H,Poland,0–3,Colombia
Russia 2018,Group stage,Group H,Japan,0–1,Poland
Russia 2018,Group stage,Group H,Senegal,0–1,Colombia
Russia 2018,Round of 16,Knockout Stage,France,4–3,Argentina
Russia 2018,Round of 16,Knockout Stage,Uruguay,2–1,Portugal
Russia 2018,Round of 16,Knockout Stage,Spain,1–1(a.e.t.),Russia
Russia 2018,Round of 16,Knockout Stage,Croatia,1–1(a.e.t.),Denmark
Russia 2018,Round of 16,Knockout Stage,Brazil,2–0,Mexico
Russia 2018,Round of 16,Knockout Stage,Belgium,3–2,Japan
Russia 2018,Round of 16,Knockout Stage,Sweden,1–0,Switzerland
Russia 2018,Round of 16,Knockout Stage,Colombia,1–1(a.e.t.),England
Russia 2018,Quarter-finals,Knockout Stage,Uruguay,0–2,France
Russia 2018,Quarter-finals,Knockout Stage,Brazil,1–2,Belgium
Russia 2018,Quarter-finals,Knockout Stage,Sweden,0–2,England
Russia 2018,Quarter-finals,Knockout Stage,Russia,2–2(a.e.t.),Croatia
Russia 2018,Semi-finals,Knockout Stage,France,1–0,Belgium
Russia 2018,Semi-finals,Knockout Stage,Croatia,2–1(a.e.t.),England
Russia 2018,Third place play-off,Knockout Stage,Belgium,2–0,England
Russia 2018,Final,Knockout Stage,France,4–2,Croatia
